name,order,trigger,invocationService,invocationAction,rollbackService,rollbackAction,_id,status,error,rollbackError,saga_instance_id
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,ee88546a-ec3e-4b01-8765-c3de24d42543,PENDING,,,648c343ec433a7c15ea06b3b
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,5879cba4-f885-44d6-8d60-b025844db130,PENDING,,,648c73bec8b1105fb5d58e21
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,7dad3bf2-b5e3-4f62-8d84-aeb6a182587e,FAILED,,,648c7756e2bea691b7139bd6
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,c623f30d-4b39-452e-8d31-f7dd2756f346,PENDING,,,648c7db3b3405df77c62935c
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,04e20fa5-fd7c-4573-9c5b-768efb5c5be9,PENDING,,,648c89c1b3405df77c62935e
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,0aaa35b3-4a97-4fec-9e8c-787ae5cfa65e,PENDING,,,6492d0a7262303c9c36e3820
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,5705a509-025e-4422-aba6-f6716af82ca7,FAILED,,,6492d7d7262303c9c36e3822
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,956a77e0-60d4-4982-8733-d605b1cf8ebb,PENDING,,,6492d8cb262303c9c36e3824
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,1d3ccd72-038e-4982-a5e6-7291a084b668,PENDING,,,6492f1ce3f15096705825ada
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,a1aa65d6-39f0-472f-ae7b-bbe49caf87d2,PENDING,,,6492f2ff3f15096705825adc
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,862f1c5f-46c0-4f94-a004-48ae8049193a,FAILED,,,6492fb523f15096705825ade
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,2d56f411-f2c7-44fc-8238-7b5eee56f44c,PENDING,,,6492fc1c262303c9c36e3826
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,64aefacb-9f3b-483b-bdc1-d75d92ea68e1,PENDING,,,649302b53f15096705825ae0
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,9b459e4c-3140-4397-ae88-5d8d9e0c8dfe,PENDING,,,64945608662fa5764405c58d
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,e7fda45b-5f4f-4ad2-aa9e-46353aec606a,FAILED,,,649457bb662fa5764405c58f
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,a81e7cc3-4826-45ef-868b-98513a210b26,PENDING,,,649b003f0da8993d8df10fd9
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,b8d7ffbb-32f3-4c34-a6d3-596719fcb723,PENDING,,,649b016ed56df4a47dbade2e
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,96cd606d-fd9c-4767-bfa0-8e89358dbf5a,PENDING,,,649b0961d56df4a47dbade30
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,5a4216ee-d0fb-41c1-931e-d6420ca763d6,FAILED,,,649d4e840da8993d8df10fdb
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,1c1c2034-2e87-41b1-be42-96582f2de576,PENDING,,,649d55560da8993d8df10fdd
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,7ff1ae84-3763-4d45-b405-dc647504f089,PENDING,,,649d5d59d56df4a47dbade32
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,99b046f2-25bf-4fd1-95aa-edcee238b6aa,PENDING,,,649d5dcb0da8993d8df10fdf
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,c2ccbf1d-823c-4e0f-8a41-54a9c7ed3bc4,FAILED,,,649d5f280da8993d8df10fe1
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,d06bd141-42ac-4bfc-86ed-baa12a3bf4d3,PENDING,,,649ef7b47199f62d34a1017c
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,44ffb2ee-a7eb-4158-b868-adbf54d6e0a7,PENDING,,,649ef84e252d409045a27882
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,d1db64c5-91c5-4a43-be28-73fb1d980a4b,PENDING,,,64a2e41f252d409045a27884
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,82aff66c-f488-46d0-aa09-681af5b1ed7a,COMPENSATED,,,64a2f054252d409045a27886
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,a45ad11d-fc98-4ead-b6d2-48f2fae927a7,FAILED,,,64a2faa421ceedef8692153d
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,36bed5d9-4b13-433b-b4a9-f3205b1aadfb,PENDING,,,64a2fb62005588ec46bd0878
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,ad3801ea-85d2-4314-9bc5-d0187d40ba7b,PENDING,,,64a2fc3d005588ec46bd087a
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,f0299ef6-9d99-4c0d-a010-3a2ecedafcc4,COMPENSATED,,,64a3d2e121ceedef8692153f
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,e2ffa956-87d7-4466-8a83-dc138a90b9ea,FAILED,,,64a3f7f121ceedef86921547
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,291b6863-3ab6-459e-83bf-4646d4ce4b7d,PENDING,,,64a3faad21ceedef86921549
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,8c20bee2-0898-4ec7-ad44-fdafb08e9f3d,PENDING,,,64a4057c005588ec46bd087e
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,a5ccd0e7-3ef1-410e-8d61-909cd8d42aef,FAILED,,,64a40622005588ec46bd0880
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,914b6905-d43d-4add-a159-7fd979551f84,COMPENSATED,,,64a43c3c21ceedef8692154b
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,ef98d026-cb00-45a1-a646-8cc13ceea7ff,FAILED,,,64a7cb97c282e8ae420697ee
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,39538369-b7ae-4f83-9259-19d917b6317e,PENDING,,,64ad65780cb75adf56a8c520
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,9c6525fe-27ea-4c07-b528-40053c2fe225,COMPLETED,,,64ad66490cb75adf56a8c522
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,ecda5093-3778-46ae-af31-7578ad9a5434,COMPLETED,,,64ad66780cb75adf56a8c524
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,db93a6ee-c647-46f2-b790-f3d3a14c6176,COMPLETED,,,64ad66d10cb75adf56a8c526
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,4926635c-e9e4-4724-a0b4-ab08b11650fa,COMPLETED,,,64ad66f30cb75adf56a8c528
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,95c7469e-fc68-4564-98c3-4e22f0f9e047,COMPENSATED,,,64ad67370cb75adf56a8c52a
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,7726e39d-7696-4d12-9231-c9ee959c7f62,FAILED,,,64ae62b76f5ad1373804116a
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,2328f02a-b5e1-47a5-869c-e077636eb719,FAILED,,,64ae62e8b27a6db9dcec2666
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,29afdce1-f49f-4bcb-b752-44a3a2e2e620,PENDING,,,64ae64b26f5ad1373804116c
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,bedd6d94-224f-404d-8006-6023260145f9,COMPENSATED,,,64ae64f6b27a6db9dcec2668
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,cba938f8-c9c3-47cf-946f-5d13e3d8f12a,FAILED,,,64ae655d6f5ad1373804116e
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,cf85da90-4afd-40a2-9b6f-ba816b3d2bc6,FAILED,,,64ae6663b27a6db9dcec266a
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,a80a24df-2117-4800-bd65-21c63dec6def,PENDING,,,64ae66826f5ad13738041170
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,7d967c6e-d2b7-4ed5-bea0-b6ce1ac0af90,COMPLETED,,,64ae6728b27a6db9dcec266c
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,7a241449-7109-4162-8011-20572c1cdd03,COMPLETED,,,64ae6af56f5ad13738041172
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,8cb8ce6e-88c4-4d7e-bdac-a7baefa81df2,COMPLETED,,,64ae81a1b27a6db9dcec266e
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,728bf3b2-64cf-4c48-aade-5e1cd0148ef6,COMPLETED,,,64ae81d16f5ad13738041174
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,d06e004a-3e08-426c-88a8-17168967ccab,FAILED,,,64ae81eab27a6db9dcec2670
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,ac8a977c-b81e-47d2-87f9-ccdbc3e30acf,PENDING,,,64ae81fd6f5ad13738041176
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,3db37d8e-3551-4e6b-8ff9-2b8b4c812abf,PENDING,,,64ae820db27a6db9dcec2672
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,83fd8469-7404-48c5-b685-3a7ed123af98,PENDING,,,64ae82446f5ad13738041178
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,b57ef9e4-69b6-4699-8123-43f987e2e2ae,COMPENSATED,,,64ae8298b27a6db9dcec2674
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,e031c34e-e5e1-47d8-95b7-cea683209ffe,FAILED,,,64ae84ab6f5ad1373804117e
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,8f0c319a-005b-41ce-8abf-a52a1fdf9234,PENDING,,,64ae9b036f5ad13738041182
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,17999c22-3576-4966-9ad8-eee477a8fe4b,PENDING,,,64aec3946f5ad13738041186
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,4fcf25be-259d-49ef-b0f5-730894234bfa,COMPENSATED,,,64aec59d6f5ad13738041188
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,683eebe7-cd38-47bf-8aa4-c55e33fc8c79,FAILED,,,64afb230b27a6db9dcec2686
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,318c98b9-6d77-4529-b97d-225b7e1e23d7,FAILED,,,64afd68b6f5ad1373804118a
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,38cc275e-63bc-4a0e-b49f-465382d2dcee,PENDING,,,64b0f8786f5ad1373804118c
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,e35dc66b-e0e2-4527-8e9f-5e502e5af8fc,COMPLETED,,,64b0f98eb27a6db9dcec268a
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,2ce715e8-42a2-429e-85e3-1e15cb2373e3,COMPLETED,,,64b0ffa5b27a6db9dcec268e
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,6ad1be73-e9d3-4197-a5ca-71b40057f593,COMPLETED,,,64b11a8d6f5ad1373804118e
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,c8ba3330-932c-4bac-bc14-555c14d728a0,COMPLETED,,,64b1469fb27a6db9dcec2692
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,cc9973f2-f5f3-4e9e-9e81-c0fc0762b384,COMPLETED,,,64b4ed13b27a6db9dcec2698
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,932e84c8-0374-453c-88bc-1080f0a26bb7,COMPLETED,,,64b6aba66956119ab413700d
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,acc136da-7d06-47ce-8a8f-424f05b9bce9,COMPLETED,,,64b6ac4f84300c45f9bd09d1
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,0bfbc0c0-1cf6-478c-8ea6-530454835bf7,COMPLETED,,,64b935ed8ac5f9fae16f24ca
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,02e9586d-670f-420a-bf61-8669479d63dc,COMPLETED,,,64b946458ac5f9fae16f24d0
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,db8e34ae-2498-4314-b2ac-32ac77cbb760,COMPLETED,,,64b9465957cc6a145a42214f
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,f46a2988-8b20-4b7b-9865-0f8ea7e44b46,COMPLETED,,,64b946818ac5f9fae16f24d8
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,c9d268ed-cfe9-447c-8763-11a2890af4ab,COMPLETED,,,64b946f457cc6a145a422157
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,bc7636bb-23cd-48ed-bfcc-4f77446265a4,COMPENSATED,,,64b947198ac5f9fae16f24e0
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,f6f68b14-de4e-44e9-9d20-20e424125aab,FAILED,,,64b9476757cc6a145a42215f
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,18eca4d1-c627-457c-8ce7-d10d2797a095,COMPLETED,,,64b947ea8ac5f9fae16f24e8
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,bba64056-4c53-4150-a19d-22ec809ecdea,FAILED,,,64ba2e9d57cc6a145a422167
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,3c81be8a-40ce-4b72-b191-ddf1d579e8a9,FAILED,,,64ba7c708ac5f9fae16f24fa
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,54e20409-8f63-49c5-b5f9-02b9caefdea0,COMPENSATED,,,64ba82f057cc6a145a42218d
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,7eb7defa-ef1a-4c0b-92b9-9dbb37121fe7,COMPLETED,,,64ba83398ac5f9fae16f2516
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,61977da9-fda5-418f-b18b-a793f85f7f4a,FAILED,,,64ba839657cc6a145a422195
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,36475280-8708-4228-9421-b3f2e34d32a4,COMPLETED,,,64ba839c8ac5f9fae16f251e
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,d381ee85-8064-4aa2-99b1-02d67c25aab0,COMPLETED,,,64ba83ad57cc6a145a42219d
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,36ed4979-487b-4b61-9c57-0e70d1fd745e,COMPLETED,,,64ba83eb8ac5f9fae16f2526
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,7825950d-828c-4a8c-81d5-df984f0d57f9,COMPLETED,,,64ba83f457cc6a145a4221a5
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,5ee56d06-fc2c-4cc5-9a4a-b663feddd01e,COMPLETED,,,64ba93438ac5f9fae16f252e
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,58b204be-fe42-4f78-a2b8-9b524620b642,COMPLETED,,,64ba94cf8ac5f9fae16f2538
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,03bea965-1667-487f-9afe-16ccb231efb8,COMPLETED,,,64ba94f457cc6a145a4221b5
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,8f5779f3-3605-476e-8f42-5377635224ca,COMPLETED,,,64ba94f48ac5f9fae16f253e
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,a387b916-dbe3-4b8b-afd4-0cc2408f2231,COMPLETED,,,64ba95fe8ac5f9fae16f2550
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,b22cdefd-a96c-4b21-ab02-6c6b7dff7a0a,COMPLETED,,,64ba978c57cc6a145a4221c5
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,04423f6e-f562-418d-8302-7172ad5f58f7,COMPLETED,,,64ba98418ac5f9fae16f2558
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,93b22e42-7d17-4ea2-9d10-0be249c150c8,COMPLETED,,,64ba989057cc6a145a4221cd
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,76b533f1-35eb-4039-9bb0-b14f029704c7,COMPLETED,,,64beada7d5bb46425886bf2b
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,d63f1f2f-1dcf-47a6-8c3e-c1bc51e30311,COMPLETED,,,64c0c10ed5bb46425886bf41
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,8d99c8dc-56dd-49f8-95d7-b9ce13d4e230,COMPLETED,,,64c0dafad5bb46425886bf53
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,65627239-f1de-41f0-bb9e-1b7944d6993a,COMPLETED,,,64c12def9fe692b71502d71a
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,99b7b61a-ebd0-438c-8d0e-09d4f0c744f9,COMPLETED,,,64c12df16df8f22d954c7a05
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,9bae3958-7cfc-4918-b5e0-57251296cca2,COMPLETED,,,64c12df36df8f22d954c7a07
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,08d25fe1-7056-4cf2-b4c5-56f3f0796bf3,COMPLETED,,,64c12df39fe692b71502d71e
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,399c9c94-7e7d-45f9-8fe3-08316b32865e,COMPLETED,,,64c12df39fe692b71502d71c
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,9faaa8c3-8a9c-406c-a6bc-3583cc44d88b,COMPENSATED,,,64c12df66df8f22d954c7a09
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,565f9adf-7197-4449-966f-9aa06e67c2f4,COMPENSATED,,,64c12df99fe692b71502d720
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,0e3c2c9d-5046-4eb7-b9ca-5ca98eeda140,COMPLETED,,,64c12e166df8f22d954c7a0b
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,0645e202-ecad-4cd1-938f-fc6ca0cca6f9,FAILED,,,64c12e199fe692b71502d722
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,cb3c96d6-a142-43e8-bee0-025c7d0e7d06,COMPLETED,,,64c12e246df8f22d954c7a0d
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,90a5981a-4513-455e-919e-ec376e629450,COMPLETED,,,64c12e2ded8f09ca734d0e5d
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,5de59adf-e3b6-447c-b319-999d109bed04,COMPLETED,,,64c12e4ced8f09ca734d0e61
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,54ac36ef-0b00-4cd0-b3a3-3180f0026299,COMPLETED,,,64c12e5ad3565b66c63cb242
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,f3673832-a1cc-4824-aaf6-e9861787f63c,FAILED,,,64c12eebed8f09ca734d0e67
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,eabf7c56-d322-4315-8b54-381990adc16e,PENDING,,,64c12fe9d3565b66c63cb248
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,20b70f10-9527-48c2-9d94-d5049249b7ed,PENDING,,,64c131c9ed8f09ca734d0e6f
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,b74d7cef-196b-489b-97b3-225f30ea68ac,PENDING,,,64c134f0d3565b66c63cb250
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,aeaffd88-50ef-4f6c-9ddc-239874858b00,FAILED,,,64c134f0ed8f09ca734d0e75
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,b2ad6061-500c-404f-9619-6ead063fe2db,PENDING,,,64c134f0ed8f09ca734d0e77
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,77b04400-4f4b-40a6-9131-c4e16f81d35f,PENDING,,,64c134f0d3565b66c63cb251
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,0365273c-f815-4391-98a0-c0914d4d3364,PENDING,,,64c134f1ed8f09ca734d0e7d
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,a35274c7-25b5-4048-9161-b0af5f5ee588,FAILED,,,64c134f1d3565b66c63cb258
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,01676e50-1338-406f-96b3-a2f5782f5dc8,PENDING,,,64c134f1ed8f09ca734d0e7f
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,e8e60529-893d-4cdf-97f4-28b40863d913,PENDING,,,64c134f1d3565b66c63cb25a
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,a4d03c50-b41d-4d78-a497-71497c4bd522,PENDING,,,64c134f2d3565b66c63cb262
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,74c45246-5e85-459c-bf1e-45d53ae6ea90,FAILED,,,64c134f2d3565b66c63cb263
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,2ad85953-cd07-431c-85d0-32352d87659e,PENDING,,,64c134f2ed8f09ca734d0e87
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,108d63a6-45e9-4fe3-89f4-3adc4b3026fa,PENDING,,,64c134f2ed8f09ca734d0e89
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,0431d9ac-42c8-47b8-b8d5-807716237162,PENDING,,,64c134f3d3565b66c63cb26f
create-member,1,AUTO,cer-plus-models-api,create-member,cer-plus-models-api,rollback-create-member,777b4c5a-25f9-4cfe-b8f5-f4be56525896,FAILED,,,64c134f3d3565b66c63cb26e
create-agreement,2,AUTO,cer-plus-models-api,create-agreement,cer-plus-models-api,rollback-create-agreement,d6aab809-b7ee-426f-8764-d1f6cc78032a,PENDING,,,64c134f3d3565b66c63cb270
store-member-documents,3,AUTO,cer-plus-service-api,store-member-documents,,,08a90e96-7e6d-4702-929b-f62eebadea55,PENDING,,,64c134f3ed8f09ca734d0e93
create-auth-user,4,AUTO,cer-plus-service-api,create-auth-user,,,755833e6-2f95-4acc-9292-436cf9ef9ff5,PENDING,,,64c134f4d3565b66c63cb27a
